,time,tien,tyle
0,19/11/2020,True,10
1,23/06/2020,True,5
2,05/12/2019,True,15
3,19/06/2019,True,5
4,13/12/2018,True,7
5,08/10/2018,True,8
6,25/06/2018,True,30
7,17/11/2017,True,7
8,21/09/2017,True,18
9,14/03/2017,True,5
10,15/08/2016,True,7
11,22/06/2016,True,10     
12,07/12/2015,True,7
13,14/09/2015,True,8
14,29/05/2015,True,15
15,11/12/2014,True,7
16,04/08/2014,True,8
17,13/05/2014,True,5
18,06/01/2014,True,7
19,04/09/2013,True,8
20,28/05/2013,True,5
21,21/12/2012,True,7
22,06/09/2012,True,8
23,23/05/2012,True,14
24,12/12/2011,True,8
25,03/11/2010,True,7
26,16/08/2010,True,8
27,14/05/2010,False,10/1
28,08/10/2009,True,7
29,01/06/2009,True,8
30,06/03/2009,True,7
